station_name,borrow_count,return_count,total_activity,current_station_match
萬大國小(萬大路344巷口),349,143,492,True
中山北路五段698巷口,137,355,492,True
臺大醫學院附設癌醫中心,34,457,491,True
向陽南港路口,85,406,491,True
公館公園,22,469,491,True
玉成公園,90,401,491,True
泰北高中,128,360,488,True
美崙公園,29,459,488,True
國立政治大學(萬壽路),165,321,486,False
東湖國中,206,280,486,True
臺大明達館機車停車場,209,276,485,True
臥龍樂業街口,54,431,485,True
和信治癌中心醫院,44,441,485,True
德昌寶興街口(西北角),36,445,481,True
昌隆公園,90,390,480,True
承德鄭州路口(市民高架下),285,194,479,True
大理高中,34,442,476,True
中華路一段21巷口,206,269,475,True
捷運動物園站,360,114,474,True
天和公園,25,448,473,True
陽光舊宗路口,123,350,473,True
捷運淡水站(中正鼻頭街口),0,473,473,False
市民敦化路口,177,295,472,True
南港軟體園區(新民街),123,348,471,True
光信公園(光復南路456巷),60,411,471,True
延平南路133巷口,174,295,469,True
裕民二路33巷,221,248,469,True
新和國小,75,393,468,True
福德國小公車站,55,412,467,True
圓山線形公園,301,166,467,True
樹德公園,40,425,465,True
三民公園,82,383,465,True
福林國小,12,452,464,True
百齡高中,119,344,463,True
臺大禮賢樓東南側,283,178,461,True
新喜公園,32,429,461,True
黎忠區民活動中心,135,326,461,True
長春龍江路口,101,360,461,True
新生長安路口,35,425,460,True
通河東街大南路口,21,436,457,True
新生德惠街口,45,411,456,True
濱江果菜市場,61,395,456,True
濱江國小游泳池,10,446,456,True
園區重陽路口,14,440,454,True
稻香重三路口,40,413,453,True
基隆光復路口,97,355,452,True
世新大學,154,298,452,True
臺大第二行政大樓南側,300,152,452,True
徐州杭州路口,63,388,451,True
臺北科技大學(電機工程系),213,238,451,True
羅斯福路三段245號前,274,177,451,True
長壽公園,34,416,450,True
松山永吉路口,146,303,449,True
古亭國中,61,388,449,True
臺北流行音樂中心(南港路),49,400,449,True
建國長安路口,75,373,448,True
臺大鄭江樓北側,31,417,448,True
兩棵樹公園,55,393,448,True
松江路77巷口,239,208,447,True
麗山國小,66,380,446,True
忠德公園,35,411,446,True
舊宗新湖三路口,154,291,445,True
北安大直街口,208,237,445,True
聯合醫院陽明院區,23,421,444,True
南港公園(東新街),49,393,442,True
寶清公園,117,324,441,True
